"Item ","Fire
Mode ","Shots To Kill Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C54 SMG","Rapid","5","9","10","11","11","12","13","15","","2","6","7","7","8","8","9","10","","8","11","13","13","14","15","16","19"
"Custodian SMG","Rapid","4","8","9","10","10","11","11","13","","2","6","6","6","7","7","8","9","","7","10","11","12","13","13","14","17"
"","Burst 3","4","8","9","10","10","11","11","13","","2","6","6","6","7","7","8","9","","7","10","11","12","13","13","14","17"
"","Charge Burst 11","4","7","8","8","9","9","10","11","","2","5","5","5","6","6","7","8","","6","9","9","10","11","11","12","14"
"Lumin V SMG","Rapid Burst 3","3","5","6","6","6","7","7","8","","1","4","4","4","4","5","5","6","","4","6","7","8","8","8","9","10"
"P8-SC SMG","Rapid","4","8","9","9","10","10","11","13","","2","5","6","6","7","7","7","9","","7","10","11","11","12","13","13","16"
"","Burst 3","4","8","9","9","10","10","11","13","","2","5","6","6","7","7","7","9","","7","10","11","11","12","13","13","16"
"Quartz SMG","Beam Heat","7","14","15","16","17","18","20","23","","3","9","10","10","12","12","13","15","","12","17","19","20","21","23","24","28"
"","Beam Heat 50%","7","14","15","16","17","18","20","23","","3","9","10","10","12","12","13","15","","12","17","19","20","21","23","24","28"
"Ripper SMG","Beam","10","19","21","22","23","25","26","31","","4","13","14","14","16","17","18","21","","16","23","26","27","29","31","33","38"
"SNIPER RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A03 Sniper Rifle","Single","2","3","3","3","3","4","4","4","","1","2","2","2","2","3","3","3","","2","3","4","4","4","4","5","5"
"Arrowhead Sniper Rifle","Single","1","2","3","3","3","3","3","4","","1","2","2","2","2","2","2","3","","2","3","3","3","4","4","4","5"
"","Charge Single","1","2","2","2","2","2","2","3","","1","1","1","1","2","2","2","2","","2","2","2","2","3","3","3","3"
"Atzkav Sniper Rifle","Single","1","1","1","1","2","2","2","2","","1","1","1","1","1","1","1","1","","1","2","2","2","2","2","2","2"
"P6-LR Sniper Rifle","Single","1","1","2","2","2","2","2","2","","1","1","1","1","1","1","1","2","","1","2","2","2","2","2","2","3"
"Scalpel Sniper Rifle","Double","1","2","2","2","2","2","2","2","","1","1","1","1","1","1","2","2","","1","2","2","2","2","2","2","3"
"","Single","2","3","3","3","3","3","4","4","","1","2","2","2","2","2","3","3","","2","3","4","4","4","4","4","5"
"Zenith Laser Sniper Rifle","Single","2","3","3","3","3","4","4","4","","1","2","2","2","2","3","3","3","","2","3","4","4","4","4","5","5"
"","Charge Single","1","2","2","2","2","2","2","2","","1","1","1","1","1","2","2","2","","1","2","2","2","2","2","3","3"
"GRENADE LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP-33 MOD Grenade Launcher","Single","1","2","2","2","2","2","2","3","","1","2","2","2","2","2","2","3","","1","2","2","2","2","2","2","3"
"RAILGUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Fire Mode","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scourge Railgun","Single","1","2","2","2","2","2","2","3","","1","2","2","2","2","2","2","2","","1","2","2","2","2","2","2","3"
"","Charge Single","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1"
"MOUNTED GUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF-117 Bulldog Repeater ATLS","Rapid","5","9","10","11","12","12","13","15","","2","6","7","7","8","8","9","10","","8","12","13","14","14","15","16","19"
"YellowJacket GT-210 Gatling","Rapid","7","14","15","16","17","18","19","23","","3","9","10","10","12","12","13","15","","12","17","19","20","21","23","24","28"
"Thlilye Laser Gatling","Rapid","3","6","7","7","8","8","9","10","","1","4","5","5","5","6","6","7","","5","8","9","9","10","10","11","13"
"ROCKET LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Boomtube Rocket Launcher","Single","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1"
"MISSILE LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Animus Missile Launcher","Burst 3","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1"
"GRENADE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MK-4 Frag Grenade","","1","1","1","2","2","2","2","2","","1","1","1","1","2","2","2","2","","1","1","1","2","2","2","2","2"
"MELEE DISABLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Action","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Melee Jab","","10","10","12","14","15","25","19","25","","5","5","6","6","8","13","10","13","","100","100","118","134","143","250","182","250"
"Melee Hook","","5","5","6","7","8","13","10","13","","3","3","3","3","4","7","5","7","","50","50","59","67","72","125","91","125"
"Melee Armed","","5","5","6","7","8","13","10","13","","3","3","3","3","4","7","5","7","","50","50","59","67","72","125","91","125"
"Melee Upper Cut","","3","3","3","4","4","7","5","7","","2","2","2","2","2","4","3","4","","25","25","30","34","36","63","46","63"
"Melee Haymaker","","3","3","3","4","4","7","5","7","","2","2","2","2","2","4","3","4","","25","25","30","34","36","63","46","63"
"MELEE KILL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Action","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Melee Jab","","5000","10000","11112","11765","12500","13334","14286","16667","","1667","6667","7408","7408","8334","8889","9524","11112","","8334","12500","13889","14706","15625","16667","17858","20834"
"Melee Hook","","2500","5000","5556","5883","6250","6667","7143","8334","","834","3334","3704","3704","4167","4445","4762","5556","","4167","6250","6945","7353","7813","8334","8929","10417"
"Melee Armed","","2","3","4","4","4","4","5","5","","1","2","3","3","3","3","3","4","","3","4","4","5","5","5","6","6"
"Melee Upper Cut","","1667","3334","3704","3922","4167","4445","4762","5556","","556","2223","2470","2470","2778","2963","3175","3704","","2778","4167","4630","4902","5209","5556","5953","6945"
"Melee Haymaker","","1667","3334","3704","3922","4167","4445","4762","5556","","556","2223","2470","2470","2778","2963","3175","3704","","2778","4167","4630","4902","5209","5556","5953","6945"
"Blade Slash Gun Game","","2","4","5","5","5","6","6","7","","1","3","3","3","4","4","4","5","","4","5","6","6","7","7","8","9"
"Blade Stab Gun Game","","1","2","3","3","3","3","3","4","","1","2","2","2","2","2","2","3","","2","3","3","3","4","4","4","5"
"Blade Slash","","2","4","4","4","5","5","5","6","","1","3","3","3","3","3","4","4","","3","5","5","5","6","6","6","7"
"Blade Stab","","2","4","4","4","5","5","5","6","","1","3","3","3","3","3","4","4","","3","5","5","5","6","6","6","7"
