"Item ","Fire
Mode ","Time To Kill (secondes) Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pulse Pistol","Rapid Heat","0.457","0.862","0.956","1.048","1.048","1.138","1.225","1.394","","0.12","0.563","0.666","0.666","0.765","0.765","0.862","0.956","","0.765","1.048","1.138","1.225","1.31","1.394","1.475","1.632"
"","Rapid Heat 50%","0.31","0.594","0.662","0.729","0.729","0.794","0.858","0.982","","0.08","0.383","0.455","0.455","0.525","0.525","0.594","0.662","","0.525","0.729","0.794","0.858","0.921","0.982","1.043","1.162"
"S-38 Pistol","Single","0.286","0.571","0.571","0.714","0.714","0.714","0.857","1","","0","0.286","0.429","0.429","0.429","0.429","0.571","0.571","","0.429","0.714","0.857","0.857","0.857","1","1","1.286"
"Salvo Frag Pistol","Single","0.353","0.706","0.706","0.706","0.706","0.706","1.059","1.059","","0","0.353","0.353","0.353","0.353","0.353","0.706","0.706","","0.353","0.706","1.059","1.059","1.059","1.059","1.059","1.412"
"","Charge Single","0","1.143","1.143","1.143","1.143","1.143","1.143","1.143","","0","0","0","0","0","0","1.143","1.143","","0","1.143","1.143","1.143","1.143","1.143","1.143","2.286"
"Tripledown Pistol","Single","0","0","1","1","1","1","1","1","","0","0","0","0","0","0","0","1","","0","1","1","1","1","1","1","1"
"WowBlast Desperado Toy Pistol","Single","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yubarev Pistol","Single","0.171","0.343","0.514","0.514","0.514","0.514","0.514","0.686","","0","0.171","0.171","0.171","0.343","0.343","0.343","0.514","","0.343","0.514","0.514","0.514","0.686","0.686","0.686","0.857"
"SHOTGUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BR-2 Shotgun","Single","0","0.667","0.667","0.667","0.667","0.667","0.667","0.667","","0","0","0","0","0","0.667","0.667","0.667","","0","0.667","0.667","0.667","0.667","0.667","1.333","1.333"
"Deadrig Shotgun","Single","0","0","0","0","0","0","0","1.2","","0","0","0","0","0","0","0","0","","0","0","0","1.2","1.2","1.2","1.2","1.2"
"Devastator Shotgun","Single","0","0","0","0","1","1","1","1","","0","0","0","0","0","0","0","0","","0","1","1","1","1","1","1","1"
"","Charge Single","0","0","0","0","0","0","0","3.5","","0","0","0","0","0","0","0","0","","0","0","0","0","3.5","3.5","3.5","3.5"
"Prism Shotgun","Slug","0","0.3","0.6","0.6","0.6","0.6","0.6","0.9","","0","0.3","0.3","0.3","0.3","0.3","0.3","0.6","","0.3","0.6","0.6","0.6","0.9","0.9","0.9","1.2"
"","Single","0.156","0.312","0.312","0.312","0.312","0.312","0.468","0.468","","0","0.156","0.156","0.156","0.156","0.156","0.312","0.312","","0.156","0.312","0.468","0.468","0.468","0.468","0.468","0.623"
"","Combined S","0.156","0.312","0.312","0.312","0.312","0.312","0.468","0.468","","0","0.156","0.156","0.156","0.156","0.156","0.312","0.312","","0.156","0.312","0.468","0.468","0.468","0.468","0.468","0.623"
"R97 Shotgun","Rapid","0.16","0.48","0.48","0.64","0.64","0.64","0.64","0.8","","0","0.32","0.32","0.32","0.32","0.48","0.48","0.48","","0.32","0.64","0.64","0.8","0.8","0.8","0.96","1.12"
"","Single","0.4","0.8","0.8","0.8","0.8","0.8","0.8","1.2","","0","0.4","0.4","0.4","0.4","0.4","0.4","0.8","","0.4","0.8","0.8","1.2","1.2","1.2","1.2","1.6"
"Ravager-212 Twin Shotgun","Single","0","0.171","0.343","0.343","0.343","0.343","0.343","0.514","","0","0.171","0.171","0.171","0.171","0.171","0.171","0.343","","0.171","0.343","0.343","0.343","0.514","0.514","0.514","0.686"
"SMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C54 SMG","Rapid","0.259","0.519","0.584","0.649","0.649","0.714","0.778","0.908","","0.065","0.324","0.389","0.389","0.454","0.454","0.519","0.584","","0.454","0.649","0.778","0.778","0.843","0.908","0.973","1.168"
"Custodian SMG","Rapid","0.225","0.525","0.6","0.675","0.675","0.75","0.75","0.9","","0.075","0.375","0.375","0.375","0.45","0.45","0.525","0.6","","0.45","0.675","0.75","0.825","0.9","0.9","0.975","1.2"
"","Burst 3","0.8","1.667","1.733","2.4","2.4","2.467","2.467","3.2","","0.067","0.933","0.933","0.933","1.6","1.6","1.667","1.733","","1.6","2.4","2.467","2.533","3.2","3.2","3.267","4.067"
"","Charge Burst 11","0.15","0.3","0.35","0.35","0.4","0.4","0.45","0.5","","0.05","0.2","0.2","0.2","0.25","0.25","0.3","0.35","","0.25","0.4","0.4","0.45","0.5","0.5","3.85","3.95"
"Lumin V SMG","Rapid Burst 3","0.171","0.493","0.579","0.579","0.579","0.814","0.814","0.9","","0","0.407","0.407","0.407","0.407","0.493","0.493","0.579","","0.407","0.579","0.814","0.9","0.9","0.9","0.986","1.221"
"P8-SC SMG","Rapid","0.225","0.525","0.6","0.6","0.675","0.675","0.75","0.9","","0.075","0.3","0.375","0.375","0.45","0.45","0.45","0.6","","0.45","0.675","0.75","0.75","0.825","0.9","0.9","1.125"
"","Burst 3","0.512","1.094","1.165","1.165","1.535","1.535","1.606","2.047","","0.071","0.582","0.653","0.653","1.024","1.024","1.024","1.165","","1.024","1.535","1.606","1.606","1.676","2.047","2.047","2.559"
"Quartz SMG","Beam Heat","0.222","0.444","0.494","0.523","0.556","0.593","0.635","0.741","","0.074","0.296","0.329","0.329","0.37","0.395","0.423","0.494","","0.37","0.556","0.617","0.654","0.694","0.741","0.794","0.926"
"","Beam Heat 50%","0.222","0.444","0.494","0.523","0.556","0.593","0.635","0.741","","0.074","0.296","0.329","0.329","0.37","0.395","0.423","0.494","","0.37","0.556","0.617","0.654","0.694","0.741","0.794","0.926"
"Ripper SMG","Beam","0.303","0.606","0.673","0.713","0.758","0.808","0.866","1.01","","0.101","0.404","0.449","0.449","0.505","0.539","0.577","0.673","","0.505","0.758","0.842","0.891","0.947","1.01","1.082","1.263"
"SNIPER RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A03 Sniper Rifle","Single","0.267","0.533","0.533","0.533","0.533","0.8","0.8","0.8","","0","0.267","0.267","0.267","0.267","0.533","0.533","0.533","","0.267","0.533","0.8","0.8","0.8","0.8","1.067","1.067"
"Arrowhead Sniper Rifle","Single","0","0.857","1.714","1.714","1.714","1.714","1.714","2.571","","0","0.857","0.857","0.857","0.857","0.857","0.857","1.714","","0.857","1.714","1.714","1.714","2.571","2.571","2.571","3.429"
"","Charge Single","0","1.357","1.357","1.357","1.357","1.357","1.357","2.714","","0","0","0","0","1.357","1.357","1.357","1.357","","1.357","1.357","1.357","1.357","2.714","2.714","2.714","2.714"
"Atzkav Sniper Rifle","Single","0","0","0","0","2","2","2","2","","0","0","0","0","0","0","0","0","","0","2","2","2","2","2","2","2"
"P6-LR Sniper Rifle","Single","0","0","1.091","1.091","1.091","1.091","1.091","1.091","","0","0","0","0","0","0","0","1.091","","0","1.091","1.091","1.091","1.091","1.091","1.091","2.182"
"Scalpel Sniper Rifle","Double","0","1.2","1.2","1.2","1.2","1.2","1.2","1.2","","0","0","0","0","0","0","1.2","1.2","","0","1.2","1.2","1.2","1.2","1.2","1.2","2.4"
"","Single","1","3","3","3","3","3","4","4","","0","1","1","1","1","1","3","3","","1","3","4","4","4","4","4","6"
"Zenith Laser Sniper Rifle","Single","0.185","0.369","0.369","0.369","0.369","0.554","0.554","0.554","","0","0.185","0.185","0.185","0.185","0.369","0.369","0.369","","0.185","0.369","0.554","0.554","0.554","0.554","0.738","0.738"
"","Charge Single","0","3.685","3.685","3.685","3.685","3.685","3.685","3.685","","0","0","0","0","0","3.685","3.685","3.685","","0","3.685","3.685","3.685","3.685","3.685","7.369","7.369"
"GRENADE LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP-33 MOD Grenade Launcher","Single","0","1","1","1","1","1","1","2","","0","1","1","1","1","1","1","2","","0","1","1","1","1","1","1","2"
"RAILGUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scourge Railgun","Single","0","0.857","0.857","0.857","0.857","0.857","0.857","1.714","","0","0.857","0.857","0.857","0.857","0.857","0.857","0.857","","0","0.857","0.857","0.857","0.857","0.857","0.857","1.714"
"","Charge Single","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"MOUNTED GUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF-117 Bulldog Repeater ATLS","Rapid","0.32","0.64","0.72","0.8","0.88","0.88","0.96","1.12","","0.08","0.4","0.48","0.48","0.56","0.56","0.64","0.72","","0.56","0.88","0.96","1.04","1.04","1.12","1.2","1.44"
"YellowJacket GT-210 Gatling","Rapid","0.24","0.52","0.56","0.6","0.64","0.68","0.72","0.88","","0.08","0.32","0.36","0.36","0.44","0.44","0.48","0.56","","0.44","0.64","0.72","0.76","0.8","0.88","0.92","1.08"
"Thlilye Laser Gatling","Rapid","0.079","0.199","0.238","0.238","0.278","0.278","0.318","0.358","","0","0.119","0.159","0.159","0.159","0.199","0.199","0.238","","0.159","0.278","0.318","0.318","0.358","0.358","0.397","0.477"
