"Item ","Fire
Mode ","Damage/Shot Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Rapid Heat 50%","23.5","11.75","10.575","9.987","9.4","8.813","8.225","7.05","","70.5","17.625","15.863","15.863","14.1","13.219","12.337","10.575","","14.1","9.4","8.46","7.99","7.52","7.05","6.58","5.64"
"S-38 Pistol","Single","45","22.5","20.25","19.125","18","16.875","15.75","13.5","","135","33.75","30.375","30.375","27","25.313","23.625","20.25","","27","18","16.2","15.3","14.4","13.5","12.6","10.8"
"Salvo Frag Pistol","Single","90","45","40.5","38.25","36","33.75","31.5","27","","270","67.5","60.75","60.75","54","50.625","47.25","40.5","","54","36","32.4","30.6","28.8","27","25.2","21.6"
"","Charge Single","180","90","81","76.5","72","67.5","63","54","","540","135","121.5","121.5","108","101.25","94.5","81","","108","72","64.8","61.2","57.6","54","50.4","43.2"
"Tripledown Pistol","Single","216","108","97.2","91.8","86.4","81","75.6","64.8","","648","162","145.8","145.8","129.6","121.5","113.4","97.2","","129.6","86.4","77.76","73.44","69.12","64.8","60.48","51.84"
"WowBlast Desperado Toy Pistol","Single","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Yubarev Pistol","Single","65","32.5","29.25","27.625","26","24.375","22.75","19.5","","195","48.75","43.875","43.875","39","36.563","34.125","29.25","","39","26","23.4","22.1","20.8","19.5","18.2","15.6"
"SHOTGUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BR-2 Shotgun","Single","176","88","79.2","74.8","70.4","66","61.6","52.8","","528","132","118.8","118.8","105.6","99","92.4","79.2","","105.6","70.4","63.36","59.84","56.32","52.8","49.28","42.24"
"Deadrig Shotgun","Single","288","144","129.6","122.4","115.2","108","100.8","86.4","","864","216","194.4","194.4","172.8","162","151.2","129.6","","172.8","115.2","103.68","97.92","92.16","86.4","80.64","69.12"
"Devastator Shotgun","Single","240","120","108","102","96","90","84","72","","720","180","162","162","144","135","126","108","","144","96","86.4","81.6","76.8","72","67.2","57.6"
"","Charge Single","300","150","135","127.5","120","112.5","105","90","","900","225","202.5","202.5","180","168.75","157.5","135","","180","120","108","102","96","90","84","72"
"Prism Shotgun","Slug","100","50","45","42.5","40","37.5","35","30","","300","75","67.5","67.5","60","56.25","52.5","45","","60","40","36","34","32","30","28","24"
"","Single","92","46","41.4","39.1","36.8","34.5","32.2","27.6","","276","69","62.1","62.1","55.2","51.75","48.3","41.4","","55.2","36.8","33.12","31.28","29.44","27.6","25.76","22.08"
"","Combined S","92","46","41.4","39.1","36.8","34.5","32.2","27.6","","276","69","62.1","62.1","55.2","51.75","48.3","41.4","","55.2","36.8","33.12","31.28","29.44","27.6","25.76","22.08"
"R97 Shotgun","Rapid","57.6","28.8","25.92","24.48","23.04","21.6","20.16","17.28","","172.8","43.2","38.88","38.88","34.56","32.4","30.24","25.92","","34.56","23.04","20.736","19.584","18.432","17.28","16.128","13.824"
"","Single","96","48","43.2","40.8","38.4","36","33.6","28.8","","288","72","64.8","64.8","57.6","54","50.4","43.2","","57.6","38.4","34.56","32.64","30.72","28.8","26.88","23.04"
"Ravager-212 Twin Shotgun","Single","104","52","46.8","44.2","41.6","39","36.4","31.2","","312","78","70.2","70.2","62.4","58.5","54.6","46.8","","62.4","41.6","37.44","35.36","33.28","31.2","29.12","24.96"
"SMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C54 SMG","Rapid","23","11.5","10.35","9.775","9.2","8.625","8.05","6.9","","69","17.25","15.525","15.525","13.8","12.938","12.075","10.35","","13.8","9.2","8.28","7.82","7.36","6.9","6.44","5.52"
"Custodian SMG","Rapid","26","13","11.7","11.05","10.4","9.75","9.1","7.8","","78","19.5","17.55","17.55","15.6","14.625","13.65","11.7","","15.6","10.4","9.36","8.84","8.32","7.8","7.28","6.24"
"","Burst 3","26","13","11.7","11.05","10.4","9.75","9.1","7.8","","78","19.5","17.55","17.55","15.6","14.625","13.65","11.7","","15.6","10.4","9.36","8.84","8.32","7.8","7.28","6.24"
"","Charge Burst 11","31.2","15.6","14.04","13.26","12.48","11.7","10.92","9.36","","93.6","23.4","21.06","21.06","18.72","17.55","16.38","14.04","","18.72","12.48","11.232","10.608","9.984","9.36","8.736","7.488"
"Lumin V SMG","Rapid Burst 3","42","21","18.9","17.85","16.8","15.75","14.7","12.6","","126","31.5","28.35","28.35","25.2","23.625","22.05","18.9","","25.2","16.8","15.12","14.28","13.44","12.6","11.76","10.08"
"P8-SC SMG","Rapid","27.5","13.75","12.375","11.688","11","10.313","9.625","8.25","","82.5","20.625","18.563","18.563","16.5","15.469","14.437","12.375","","16.5","11","9.9","9.35","8.8","8.25","7.7","6.6"
"","Burst 3","27.5","13.75","12.375","11.688","11","10.313","9.625","8.25","","82.5","20.625","18.563","18.563","16.5","15.469","14.438","12.375","","16.5","11","9.9","9.35","8.8","8.25","7.7","6.6"
"Quartz SMG","Beam Heat","15","7.5","6.75","6.375","6","5.625","5.25","4.5","","45","11.25","10.125","10.125","9","8.438","7.875","6.75","","9","6","5.4","5.1","4.8","4.5","4.2","3.6"
"","Beam Heat 50%","15","7.5","6.75","6.375","6","5.625","5.25","4.5","","45","11.25","10.125","10.125","9","8.438","7.875","6.75","","9","6","5.4","5.1","4.8","4.5","4.2","3.6"
"Ripper SMG","Beam","11","5.5","4.95","4.675","4.4","4.125","3.85","3.3","","33","8.25","7.425","7.425","6.6","6.188","5.775","4.95","","6.6","4.4","3.96","3.74","3.52","3.3","3.08","2.64"
"SNIPER RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A03 Sniper Rifle","Single","85","42.5","38.25","36.125","34","31.875","29.75","25.5","","255","63.75","57.375","57.375","51","47.813","44.625","38.25","","51","34","30.6","28.9","27.2","25.5","23.8","20.4"
"Arrowhead Sniper Rifle","Single","100","50","45","42.5","40","37.5","35","30","","300","75","67.5","67.5","60","56.25","52.5","45","","60","40","36","34","32","30","28","24"
"","Charge Single","150","75","67.5","63.75","60","56.25","52.5","45","","450","112.5","101.25","101.25","90","84.375","78.75","67.5","","90","60","54","51","48","45","42","36"
"Atzkav Sniper Rifle","Single","240","120","108","102","96","90","84","72","","720","180","162","162","144","135","126","108","","144","96","86.4","81.6","76.8","72","67.2","57.6"
"P6-LR Sniper Rifle","Single","200","100","90","85","80","75","70","60","","600","150","135","135","120","112.5","105","90","","120","80","72","68","64","60","56","48"
"Scalpel Sniper Rifle","Double","180","90","81","76.5","72","67.5","63","54","","540","135","121.5","121.5","108","101.25","94.5","81","","108","72","64.8","61.2","57.6","54","50.4","43.2"
"","Single","90","45","40.5","38.25","36","33.75","31.5","27","","270","67.5","60.75","60.75","54","50.625","47.25","40.5","","54","36","32.4","30.6","28.8","27","25.2","21.6"
"Zenith Laser Sniper Rifle","Single","85","42.5","38.25","36.125","34","31.875","29.75","25.5","","255","63.75","57.375","57.375","51","47.813","44.625","38.25","","51","34","30.6","28.9","27.2","25.5","23.8","20.4"
"","Charge Single","170","85","76.5","72.25","68","63.75","59.5","51","","510","127.5","114.75","114.75","102","95.625","89.25","76.5","","102","68","61.2","57.8","54.4","51","47.6","40.8"
"GRENADE LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP-33 MOD Grenade Launcher","Single","148.5","74.25","66.825","63.112","59.4","55.687","51.975","44.55","","303","75.75","68.175","68.175","60.6","56.812","53.025","45.45","","110.475","73.65","66.285","62.602","58.92","55.238","51.555","44.19"
"RAILGUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scourge Railgun","Single","154","77","69.3","65.45","61.6","57.75","53.9","46.2","","348","87","78.3","78.3","69.6","65.25","60.9","52.2","","109.5","73","65.7","62.05","58.4","54.75","51.1","43.8"
"","Charge Single","12114","6057","5451.3","5148.45","4845.6","4542.75","4239.9","3634.2","","36228","9057","8151.3","8151.3","7245.6","6792.75","6339.9","5434.2","","7285.5","4857","4371.3","4128.45","3885.6","3642.75","3399.9","2914.2"
"MOUNTED GUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF-117 Bulldog Repeater ATLS","Rapid","22.6","11.3","10.17","9.605","9.04","8.475","7.91","6.78","","67.8","16.95","15.255","15.255","13.56","12.713","11.865","10.17","","13.56","9.04","8.136","7.684","7.232","6.78","6.328","5.424"
"YellowJacket GT-210 Gatling","Rapid","15.12","7.56","6.804","6.426","6.048","5.67","5.292","4.536","","45.36","11.34","10.206","10.206","9.072","8.505","7.938","6.804","","9.072","6.048","5.443","5.141","4.838","4.536","4.234","3.629"
"Thlilye Laser Gatling","Rapid","34.2","17.1","15.39","14.535","13.68","12.825","11.97","10.26","","102.6","25.65","23.085","23.085","20.52","19.238","17.955","15.39","","20.52","13.68","12.312","11.628","10.944","10.26","9.576","8.208"
"ROCKET LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Boomtube Rocket Launcher","Single","570040","285020","256518","242267","228016","213765","199514","171012","","1140120","285030","256527","256527","228024","213772.5","199521","171018","","427524","285016","256514.4","242263.6","228012.8","213762","199511.2","171009.6"
"MISSILE LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Animus Missile Launcher","Burst 3","12540","6270","5643","5329.5","5016","4702.5","4389","3762","","25080","6270","5643","5643","5016","4702.5","4389","3762","","9405","6270","5643","5329.5","5016","4702.5","4389","3762"
"GRENADE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MK-4 Frag Grenade","","228","114","102.6","96.9","91.2","85.5","79.8","68.4","","456","114","102.6","102.6","91.2","85.5","79.8","68.4","","171","114","102.6","96.9","91.2","85.5","79.8","68.4"
"MELEE DISABLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Action","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Melee Jab","","10","10","8.5","7.5","7","4","5.5","4","","20","20","17","17","14","8","11","8","","1","1","0.85","0.75","0.7","0.4","0.55","0.4"
"Melee Hook","","20","20","17","15","14","8","11","8","","40","40","34","34","28","16","22","16","","2","2","1.7","1.5","1.4","0.8","1.1","0.8"
"Melee Armed","","20","20","17","15","14","8","11","8","","40","40","34","34","28","16","22","16","","2","2","1.7","1.5","1.4","0.8","1.1","0.8"
"Melee Upper Cut","","40","40","34","30","28","16","22","16","","80","80","68","68","56","32","44","32","","4","4","3.4","3","2.8","1.6","2.2","1.6"
"Melee Haymaker","","40","40","34","30","28","16","22","16","","80","80","68","68","56","32","44","32","","4","4","3.4","3","2.8","1.6","2.2","1.6"
"MELEE KILL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Action","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Melee Jab","","0.02","0.01","0.009","0.0085","0.008","0.0075","0.007","0.006","","0.06","0.015","0.0135","0.0135","0.012","0.01125","0.0105","0.009","","0.012","0.008","0.0072","0.0068","0.0064","0.006","0.0056","0.0048"
"Melee Hook","","0.04","0.02","0.018","0.017","0.016","0.015","0.014","0.012","","0.12","0.03","0.027","0.027","0.024","0.0225","0.021","0.018","","0.024","0.016","0.0144","0.0136","0.0128","0.012","0.0112","0.0096"
"Melee Armed","","70","35","31.5","29.75","28","26.25","24.5","21","","210","52.5","47.25","47.25","42","39.375","36.75","31.5","","42","28","25.2","23.8","22.4","21","19.6","16.8"
"Melee Upper Cut","","0.06","0.03","0.027","0.0255","0.024","0.0225","0.021","0.018","","0.18","0.045","0.0405","0.0405","0.036","0.03375","0.0315","0.027","","0.036","0.024","0.0216","0.0204","0.0192","0.018","0.0168","0.0144"
"Melee Haymaker","","0.06","0.03","0.027","0.0255","0.024","0.0225","0.021","0.018","","0.18","0.045","0.0405","0.0405","0.036","0.03375","0.0315","0.027","","0.036","0.024","0.0216","0.0204","0.0192","0.018","0.0168","0.0144"
"Blade Slash Gun Game","","50","25","22.5","21.25","20","18.75","17.5","15","","150","37.5","33.75","33.75","30","28.125","26.25","22.5","","30","20","18","17","16","15","14","12"
"Blade Stab Gun Game","","100","50","45","42.5","40","37.5","35","30","","300","75","67.5","67.5","60","56.25","52.5","45","","60","40","36","34","32","30","28","24"
"Blade Slash","","60","30","27","25.5","24","22.5","21","18","","180","45","40.5","40.5","36","33.75","31.5","27","","36","24","21.6","20.4","19.2","18","16.8","14.4"
"Blade Stab","","60","30","27","25.5","24","22.5","21","18","","180","45","40.5","40.5","36","33.75","31.5","27","","36","24","21.6","20.4","19.2","18","16.8","14.4"
