"Item ","","Hit
pellets ","Detailed Pellets Damage/Click Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","",""
"","Devastator Shotgun Single","3","64.5","32.25","28.54125","26.686875","24.8325","21.12375","17.415","","193.5","48.375","42.811875","42.811875","37.24875","31.685625","26.1225","","38.7","25.8","22.833","21.3495","19.866","16.899","13.932"
"","Devastator Shotgun Single","4","86","43","38.055","35.5825","33.11","28.165","23.22","","258","64.5","57.0825","57.0825","49.665","42.2475","34.83","","51.6","34.4","30.444","28.466","26.488","22.532","18.576"
"","Devastator Shotgun Single","5","107.5","53.75","47.56875","44.478125","41.3875","35.20625","29.025","","322.5","80.625","71.353125","71.353125","62.08125","52.809375","43.5375","","64.5","43","38.055","35.5825","33.11","28.165","23.22"
"","Devastator Shotgun Single","6","129","64.5","57.0825","53.37375","49.665","42.2475","34.83","","387","96.75","85.62375","85.62375","74.4975","63.37125","52.245","","77.4","51.6","45.666","42.699","39.732","33.798","27.864"
"","Devastator Shotgun Single","7","150.5","75.25","66.59625","62.269375","57.9425","49.28875","40.635","","451.5","112.875","99.894375","99.894375","86.91375","73.933125","60.9525","","90.3","60.2","53.277","49.8155","46.354","39.431","32.508"
"","Devastator Shotgun Single","8","172","86","76.11","71.165","66.22","56.33","46.44","","516","129","114.165","114.165","99.33","84.495","69.66","","103.2","68.8","60.888","56.932","52.976","45.064","37.152"
"","Devastator Shotgun Single","9","193.5","96.75","85.62375","80.060625","74.4975","63.37125","52.245","","580.5","145.125","128.435625","128.435625","111.74625","95.056875","78.3675","","116.1","77.4","68.499","64.0485","59.598","50.697","41.796"
"","Devastator Shotgun Single","10","215","107.5","95.1375","88.95625","82.775","70.4125","58.05","","645","161.25","142.70625","142.70625","124.1625","105.61875","87.075","","129","86","76.11","71.165","66.22","56.33","46.44"
"","Devastator Shotgun Single","11","236.5","118.25","104.65125","97.851875","91.0525","77.45375","63.855","","709.5","177.375","156.976875","156.976875","136.57875","116.180625","95.7825","","141.9","94.6","83.721","78.2815","72.842","61.963","51.084"
"","Devastator Shotgun Single","12","258","129","114.165","106.7475","99.33","84.495","69.66","","774","193.5","171.2475","171.2475","148.995","126.7425","104.49","","154.8","103.2","91.332","85.398","79.464","67.596","55.728"
"Devastator
Shotgun
Charge
Single","Devastator Shotgun Charge Single","1","26.875","13.4375","11.8921875","11.11953125","10.346875","8.8015625","7.25625","","80.625","20.15625","17.83828125","17.83828125","15.5203125","13.20234375","10.884375","","16.125","10.75","9.51375","8.895625","8.2775","7.04125","5.805"
"","Devastator Shotgun Charge Single","2","53.75","26.875","23.784375","22.2390625","20.69375","17.603125","14.5125","","161.25","40.3125","35.6765625","35.6765625","31.040625","26.4046875","21.76875","","32.25","21.5","19.0275","17.79125","16.555","14.0825","11.61"
"","Devastator Shotgun Charge Single","3","80.625","40.3125","35.6765625","33.35859375","31.040625","26.4046875","21.76875","","241.875","60.46875","53.51484375","53.51484375","46.5609375","39.60703125","32.653125","","48.375","32.25","28.54125","26.686875","24.8325","21.12375","17.415"
"","Devastator Shotgun Charge Single","4","107.5","53.75","47.56875","44.478125","41.3875","35.20625","29.025","","322.5","80.625","71.353125","71.353125","62.08125","52.809375","43.5375","","64.5","43","38.055","35.5825","33.11","28.165","23.22"
"","Devastator Shotgun Charge Single","5","134.375","67.1875","59.4609375","55.59765625","51.734375","44.0078125","36.28125","","403.125","100.78125","89.19140625","89.19140625","77.6015625","66.01171875","54.421875","","80.625","53.75","47.56875","44.478125","41.3875","35.20625","29.025"
"","Devastator Shotgun Charge Single","6","161.25","80.625","71.353125","66.7171875","62.08125","52.809375","43.5375","","483.75","120.9375","107.0296875","107.0296875","93.121875","79.2140625","65.30625","","96.75","64.5","57.0825","53.37375","49.665","42.2475","34.83"
"","Devastator Shotgun Charge Single","7","188.125","94.0625","83.2453125","77.83671875","72.428125","61.6109375","50.79375","","564.375","141.09375","124.8679688","124.8679688","108.6421875","92.41640625","76.190625","","112.875","75.25","66.59625","62.269375","57.9425","49.28875","40.635"
"","Devastator Shotgun Charge Single","8","215","107.5","95.1375","88.95625","82.775","70.4125","58.05","","645","161.25","142.70625","142.70625","124.1625","105.61875","87.075","","129","86","76.11","71.165","66.22","56.33","46.44"
"","Devastator Shotgun Charge Single","9","241.875","120.9375","107.0296875","100.0757813","93.121875","79.2140625","65.30625","","725.625","181.40625","160.5445313","160.5445313","139.6828125","118.8210938","97.959375","","145.125","96.75","85.62375","80.060625","74.4975","63.37125","52.245"
"","Devastator Shotgun Charge Single","10","268.75","134.375","118.921875","111.1953125","103.46875","88.015625","72.5625","","806.25","201.5625","178.3828125","178.3828125","155.203125","132.0234375","108.84375","","161.25","107.5","95.1375","88.95625","82.775","70.4125","58.05"
"","Devastator Shotgun Charge Single","11","295.625","147.8125","130.8140625","122.3148438","113.815625","96.8171875","79.81875","","886.875","221.71875","196.2210938","196.2210938","170.7234375","145.2257813","119.728125","","177.375","118.25","104.65125","97.851875","91.0525","77.45375","63.855"
"","Devastator Shotgun Charge Single","12","322.5","161.25","142.70625","133.434375","124.1625","105.61875","87.075","","967.5","241.875","214.059375","214.059375","186.24375","158.428125","130.6125","","193.5","129","114.165","106.7475","99.33","84.495","69.66"
"Prism
Laser
Shotgun","Prism Shotgun Single","1","13.8","6.9","6.1065","5.70975","5.313","4.5195","3.726","","41.4","10.35","9.15975","9.15975","7.9695","6.77925","5.589","","8.28","5.52","4.8852","4.5678","4.2504","3.6156","2.9808"
"","Prism Shotgun Single","2","27.6","13.8","12.213","11.4195","10.626","9.039","7.452","","82.8","20.7","18.3195","18.3195","15.939","13.5585","11.178","","16.56","11.04","9.7704","9.1356","8.5008","7.2312","5.9616"
"","Prism Shotgun Single","3","41.4","20.7","18.3195","17.12925","15.939","13.5585","11.178","","124.2","31.05","27.47925","27.47925","23.9085","20.33775","16.767","","24.84","16.56","14.6556","13.7034","12.7512","10.8468","8.9424"
"","Prism Shotgun Single","4","55.2","27.6","24.426","22.839","21.252","18.078","14.904","","165.6","41.4","36.639","36.639","31.878","27.117","22.356","","33.12","22.08","19.5408","18.2712","17.0016","14.4624","11.9232"
"","Prism Shotgun Single","5","69","34.5","30.5325","28.54875","26.565","22.5975","18.63","","207","51.75","45.79875","45.79875","39.8475","33.89625","27.945","","41.4","27.6","24.426","22.839","21.252","18.078","14.904"
"","Prism Shotgun Single","6","82.8","41.4","36.639","34.2585","31.878","27.117","22.356","","248.4","62.1","54.9585","54.9585","47.817","40.6755","33.534","","49.68","33.12","29.3112","27.4068","25.5024","21.6936","17.8848"
"","Prism Shotgun Single","7","96.6","48.3","42.7455","39.96825","37.191","31.6365","26.082","","289.8","72.45","64.11825","64.11825","55.7865","47.45475","39.123","","57.96","38.64","34.1964","31.9746","29.7528","25.3092","20.8656"
"","Prism Shotgun Single","8","110.4","55.2","48.852","45.678","42.504","36.156","29.808","","331.2","82.8","73.278","73.278","63.756","54.234","44.712","","66.24","44.16","39.0816","36.5424","34.0032","28.9248","23.8464"
"R97
Shotgun
Rapid","R97 Shotgun Rapid","1","7.74","3.87","3.42495","3.202425","2.9799","2.53485","2.0898","","23.22","5.805","5.137425","5.137425","4.46985","3.802275","3.1347","","4.644","3.096","2.73996","2.56194","2.38392","2.02788","1.67184"
"","R97 Shotgun Rapid","2","15.48","7.74","6.8499","6.40485","5.9598","5.0697","4.1796","","46.44","11.61","10.27485","10.27485","8.9397","7.60455","6.2694","","9.288","6.192","5.47992","5.12388","4.76784","4.05576","3.34368"
"","R97 Shotgun Rapid","3","23.22","11.61","10.27485","9.607275","8.9397","7.60455","6.2694","","69.66","17.415","15.412275","15.412275","13.40955","11.406825","9.4041","","13.932","9.288","8.21988","7.68582","7.15176","6.08364","5.01552"
"","R97 Shotgun Rapid","4","30.96","15.48","13.6998","12.8097","11.9196","10.1394","8.3592","","92.88","23.22","20.5497","20.5497","17.8794","15.2091","12.5388","","18.576","12.384","10.95984","10.24776","9.53568","8.11152","6.68736"
"","R97 Shotgun Rapid","5","38.7","19.35","17.12475","16.012125","14.8995","12.67425","10.449","","116.1","29.025","25.687125","25.687125","22.34925","19.011375","15.6735","","23.22","15.48","13.6998","12.8097","11.9196","10.1394","8.3592"
"","R97 Shotgun Rapid","6","46.44","23.22","20.5497","19.21455","17.8794","15.2091","12.5388","","139.32","34.83","30.82455","30.82455","26.8191","22.81365","18.8082","","27.864","18.576","16.43976","15.37164","14.30352","12.16728","10.03104"
"","R97 Shotgun Rapid","7","54.18","27.09","23.97465","22.416975","20.8593","17.74395","14.6286","","162.54","40.635","35.961975","35.961975","31.28895","26.615925","21.9429","","32.508","21.672","19.17972","17.93358","16.68744","14.19516","11.70288"
"","R97 Shotgun Rapid","8","61.92","30.96","27.3996","25.6194","23.8392","20.2788","16.7184","","185.76","46.44","41.0994","41.0994","35.7588","30.4182","25.0776","","37.152","24.768","21.91968","20.49552","19.07136","16.22304","13.37472"
"R97
Shotgun
Single","R97 Shotgun Single","1","8.6","4.3","3.8055","3.55825","3.311","2.8165","2.322","","25.8","6.45","5.70825","5.70825","4.9665","4.22475","3.483","","5.16","3.44","3.0444","2.8466","2.6488","2.2532","1.8576"
"","R97 Shotgun Single","2","17.2","8.6","7.611","7.1165","6.622","5.633","4.644","","51.6","12.9","11.4165","11.4165","9.933","8.4495","6.966","","10.32","6.88","6.0888","5.6932","5.2976","4.5064","3.7152"
"","R97 Shotgun Single","3","25.8","12.9","11.4165","10.67475","9.933","8.4495","6.966","","77.4","19.35","17.12475","17.12475","14.8995","12.67425","10.449","","15.48","10.32","9.1332","8.5398","7.9464","6.7596","5.5728"
"","R97 Shotgun Single","4","34.4","17.2","15.222","14.233","13.244","11.266","9.288","","103.2","25.8","22.833","22.833","19.866","16.899","13.932","","20.64","13.76","12.1776","11.3864","10.5952","9.0128","7.4304"
"","R97 Shotgun Single","5","43","21.5","19.0275","17.79125","16.555","14.0825","11.61","","129","32.25","28.54125","28.54125","24.8325","21.12375","17.415","","25.8","17.2","15.222","14.233","13.244","11.266","9.288"
"","R97 Shotgun Single","6","51.6","25.8","22.833","21.3495","19.866","16.899","13.932","","154.8","38.7","34.2495","34.2495","29.799","25.3485","20.898","","30.96","20.64","18.2664","17.0796","15.8928","13.5192","11.1456"
"","R97 Shotgun Single","7","60.2","30.1","26.6385","24.90775","23.177","19.7155","16.254","","180.6","45.15","39.95775","39.95775","34.7655","29.57325","24.381","","36.12","24.08","21.3108","19.9262","18.5416","15.7724","13.0032"
"","R97 Shotgun Single","8","68.8","34.4","30.444","28.466","26.488","22.532","18.576","","206.4","51.6","45.666","45.666","39.732","33.798","27.864","","41.28","27.52","24.3552","22.7728","21.1904","18.0256","14.8608"
"","R97 Shotgun Single","9","77.4","38.7","34.2495","32.02425","29.799","25.3485","20.898","","232.2","58.05","51.37425","51.37425","44.6985","38.02275","31.347","","46.44","30.96","27.3996","25.6194","23.8392","20.2788","16.7184"
"","R97 Shotgun Single","10","86","43","38.055","35.5825","33.11","28.165","23.22","","258","64.5","57.0825","57.0825","49.665","42.2475","34.83","","51.6","34.4","30.444","28.466","26.488","22.532","18.576"
"","R97 Shotgun Single","11","94.6","47.3","41.8605","39.14075","36.421","30.9815","25.542","","283.8","70.95","62.79075","62.79075","54.6315","46.47225","38.313","","56.76","37.84","33.4884","31.3126","29.1368","24.7852","20.4336"
"","R97 Shotgun Single","12","103.2","51.6","45.666","42.699","39.732","33.798","27.864","","309.6","77.4","68.499","68.499","59.598","50.697","41.796","","61.92","41.28","36.5328","34.1592","31.7856","27.0384","22.2912"
"Ravager-212
Twin
Shotgun
Single","Ravager-212 Twin Shotgun Single","1","13.975","6.9875","6.1839375","5.78215625","5.380375","4.5768125","3.77325","","41.925","10.48125","9.27590625","9.27590625","8.0705625","6.86521875","5.659875","","8.385","5.59","4.94715","4.625725","4.3043","3.66145","3.0186"
"","Ravager-212 Twin Shotgun Single","2","27.95","13.975","12.367875","11.5643125","10.76075","9.153625","7.5465","","83.85","20.9625","18.5518125","18.5518125","16.141125","13.7304375","11.31975","","16.77","11.18","9.8943","9.25145","8.6086","7.3229","6.0372"
"","Ravager-212 Twin Shotgun Single","3","41.925","20.9625","18.5518125","17.34646875","16.141125","13.7304375","11.31975","","125.775","31.44375","27.82771875","27.82771875","24.2116875","20.59565625","16.979625","","25.155","16.77","14.84145","13.877175","12.9129","10.98435","9.0558"
"","Ravager-212 Twin Shotgun Single","4","55.9","27.95","24.73575","23.128625","21.5215","18.30725","15.093","","167.7","41.925","37.103625","37.103625","32.28225","27.460875","22.6395","","33.54","22.36","19.7886","18.5029","17.2172","14.6458","12.0744"
"","Ravager-212 Twin Shotgun Single","5","69.875","34.9375","30.9196875","28.91078125","26.901875","22.8840625","18.86625","","209.625","52.40625","46.37953125","46.37953125","40.3528125","34.32609375","28.299375","","41.925","27.95","24.73575","23.128625","21.5215","18.30725","15.093"
"","Ravager-212 Twin Shotgun Single","6","83.85","41.925","37.103625","34.6929375","32.28225","27.460875","22.6395","","251.55","62.8875","55.6554375","55.6554375","48.423375","41.1913125","33.95925","","50.31","33.54","29.6829","27.75435","25.8258","21.9687","18.1116"
"","Ravager-212 Twin Shotgun Single","7","97.825","48.9125","43.2875625","40.47509375","37.662625","32.0376875","26.41275","","293.475","73.36875","64.93134375","64.93134375","56.4939375","48.05653125","39.619125","","58.695","39.13","34.63005","32.380075","30.1301","25.63015","21.1302"
"","Ravager-212 Twin Shotgun Single","8","111.8","55.9","49.4715","46.25725","43.043","36.6145","30.186","","335.4","83.85","74.20725","74.20725","64.5645","54.92175","45.279","","67.08","44.72","39.5772","37.0058","34.4344","29.2916","24.1488"
"Salvo
Frag
Pistol
Charge
Single","Salvo Frag Pistol Charge Single","1","24.1875","12.09375","10.70296875","10.00757813","9.3121875","7.92140625","6.530625","","72.5625","18.140625","16.05445313","16.05445313","13.96828125","11.88210938","9.7959375","","14.5125","9.675","8.562375","8.0060625","7.44975","6.337125","5.2245"
"","Salvo Frag Pistol Charge Single","2","48.375","24.1875","21.4059375","20.01515625","18.624375","15.8428125","13.06125","","145.125","36.28125","32.10890625","32.10890625","27.9365625","23.76421875","19.591875","","29.025","19.35","17.12475","16.012125","14.8995","12.67425","10.449"
"","Salvo Frag Pistol Charge Single","3","72.5625","36.28125","32.10890625","30.02273438","27.9365625","23.76421875","19.591875","","217.6875","54.421875","48.16335938","48.16335938","41.90484375","35.64632813","29.3878125","","43.5375","29.025","25.687125","24.0181875","22.34925","19.011375","15.6735"
"","Salvo Frag Pistol Charge Single","4","96.75","48.375","42.811875","40.0303125","37.24875","31.685625","26.1225","","290.25","72.5625","64.2178125","64.2178125","55.873125","47.5284375","39.18375","","58.05","38.7","34.2495","32.02425","29.799","25.3485","20.898"
"","Salvo Frag Pistol Charge Single","5","120.9375","60.46875","53.51484375","50.03789063","46.5609375","39.60703125","32.653125","","362.8125","90.703125","80.27226563","80.27226563","69.84140625","59.41054688","48.9796875","","72.5625","48.375","42.811875","40.0303125","37.24875","31.685625","26.1225"
"","Salvo Frag Pistol Charge Single","6","145.125","72.5625","64.2178125","60.04546875","55.873125","47.5284375","39.18375","","435.375","108.84375","96.32671875","96.32671875","83.8096875","71.29265625","58.775625","","87.075","58.05","51.37425","48.036375","44.6985","38.02275","31.347"
"","Salvo Frag Pistol Charge Single","7","169.3125","84.65625","74.92078125","70.05304688","65.1853125","55.44984375","45.714375","","507.9375","126.984375","112.3811719","112.3811719","97.77796875","83.17476563","68.5715625","","101.5875","67.725","59.936625","56.0424375","52.14825","44.359875","36.5715"
"","Salvo Frag Pistol Charge Single","8","193.5","96.75","85.62375","80.060625","74.4975","63.37125","52.245","","580.5","145.125","128.435625","128.435625","111.74625","95.056875","78.3675","","116.1","77.4","68.499","64.0485","59.598","50.697","41.796"
"Tripledown
Pistol
Single","Tripledown Pistol Single","1","25.8","12.9","11.4165","10.67475","9.933","8.4495","6.966","","77.4","19.35","17.12475","17.12475","14.8995","12.67425","10.449","","15.48","10.32","9.1332","8.5398","7.9464","6.7596","5.5728"
"","Tripledown Pistol Single","2","51.6","25.8","22.833","21.3495","19.866","16.899","13.932","","154.8","38.7","34.2495","34.2495","29.799","25.3485","20.898","","30.96","20.64","18.2664","17.0796","15.8928","13.5192","11.1456"
"","Tripledown Pistol Single","3","77.4","38.7","34.2495","32.02425","29.799","25.3485","20.898","","232.2","58.05","51.37425","51.37425","44.6985","38.02275","31.347","","46.44","30.96","27.3996","25.6194","23.8392","20.2788","16.7184"
"","Tripledown Pistol Single","4","103.2","51.6","45.666","42.699","39.732","33.798","27.864","","309.6","77.4","68.499","68.499","59.598","50.697","41.796","","61.92","41.28","36.5328","34.1592","31.7856","27.0384","22.2912"
"","Tripledown Pistol Single","5","129","64.5","57.0825","53.37375","49.665","42.2475","34.83","","387","96.75","85.62375","85.62375","74.4975","63.37125","52.245","","77.4","51.6","45.666","42.699","39.732","33.798","27.864"
"","Tripledown Pistol Single","6","154.8","77.4","68.499","64.0485","59.598","50.697","41.796","","464.4","116.1","102.7485","102.7485","89.397","76.0455","62.694","","92.88","61.92","54.7992","51.2388","47.6784","40.5576","33.4368"
"","Tripledown Pistol Single","7","180.6","90.3","79.9155","74.72325","69.531","59.1465","48.762","","541.8","135.45","119.87325","119.87325","104.2965","88.71975","73.143","","108.36","72.24","63.9324","59.7786","55.6248","47.3172","39.0096"
"","Tripledown Pistol Single","8","206.4","103.2","91.332","85.398","79.464","67.596","55.728","","619.2","154.8","136.998","136.998","119.196","101.394","83.592","","123.84","82.56","73.0656","68.3184","63.5712","54.0768","44.5824"
"","Tripledown Pistol Single","9","232.2","116.1","102.7485","96.07275","89.397","76.0455","62.694","","696.6","174.15","154.12275","154.12275","134.0955","114.06825","94.041","","139.32","92.88","82.1988","76.8582","71.5176","60.8364","50.1552"
