"Item ","Fire
Mode ","Damage/Shot Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","","","","",""
"LH86 Pistol","Rapid","27.95","13.975","12.368","11.564","10.761","9.957","9.154","7.547","","83.85","20.963","18.552","18.552","16.141","14.936","13.73","11.32","","16.77","11.18","9.894","9.251","8.609","7.966","7.323","6.037"
"Pulse Pistol","Rapid Heat","27.26","13.63","12.063","11.279","10.495","9.711","8.928","7.36","","81.78","20.445","18.094","18.094","15.743","14.567","13.391","11.04","","16.356","10.904","9.65","9.023","8.396","7.769","7.142","5.888"
"","Rapid Heat 50%","27.26","13.63","12.063","11.279","10.495","9.711","8.928","7.36","","81.78","20.445","18.094","18.094","15.743","14.567","13.391","11.04","","16.356","10.904","9.65","9.023","8.396","7.769","7.142","5.888"
"S-38 Pistol","Single","48.375","24.188","21.406","20.015","18.624","17.234","15.843","13.061","","145.125","36.281","32.109","32.109","27.937","25.85","23.764","19.592","","29.025","19.35","17.125","16.012","14.9","13.787","12.674","10.449"
"Salvo Frag Pistol","Single","96.75","48.375","42.812","40.03","37.249","34.467","31.686","26.123","","290.25","72.563","64.218","64.218","55.873","51.701","47.528","39.184","","58.05","38.7","34.25","32.024","29.799","27.574","25.349","20.898"
"","Charge Single","193.5","96.75","85.624","80.061","74.498","68.934","63.371","52.245","","580.5","145.125","128.436","128.436","111.746","103.402","95.057","78.368","","116.1","77.4","68.499","64.049","59.598","55.148","50.697","41.796"
"Tripledown Pistol","Single","232.2","116.1","102.749","96.073","89.397","82.721","76.046","62.694","","696.6","174.15","154.123","154.123","134.096","124.082","114.068","94.041","","139.32","92.88","82.199","76.858","71.518","66.177","60.836","50.155"
"WowBlast Desperado Toy Pistol","Single","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Yubarev Pistol","Single","69.875","34.938","30.92","28.911","26.902","24.893","22.884","18.866","","209.625","52.406","46.38","46.38","40.353","37.339","34.326","28.299","","41.925","27.95","24.736","23.129","21.522","19.914","18.307","15.093"
"SHOTGUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BR-2 Shotgun","Single","189.2","94.6","83.721","78.282","72.842","67.403","61.963","51.084","","567.6","141.9","125.581","125.581","109.263","101.104","92.944","76.626","","113.52","75.68","66.977","62.625","58.274","53.922","49.57","40.867"
"Deadrig Shotgun","Single","309.6","154.8","136.998","128.097","119.196","110.295","101.394","83.592","","928.8","232.2","205.497","205.497","178.794","165.443","152.091","125.388","","185.76","123.84","109.598","102.478","95.357","88.236","81.115","66.874"
"Devastator Shotgun","Single","258","129","114.165","106.748","99.33","91.913","84.495","69.66","","774","193.5","171.248","171.248","148.995","137.869","126.743","104.49","","154.8","103.2","91.332","85.398","79.464","73.53","67.596","55.728"
"","Charge Single","322.5","161.25","142.706","133.434","124.163","114.891","105.619","87.075","","967.5","241.875","214.059","214.059","186.244","172.336","158.428","130.613","","193.5","129","114.165","106.748","99.33","91.913","84.495","69.66"
"Prism Shotgun","Slug","120","60","53.1","49.65","46.2","42.75","39.3","32.4","","360","90","79.65","79.65","69.3","64.125","58.95","48.6","","72","48","42.48","39.72","36.96","34.2","31.44","25.92"
"","Single","110.4","55.2","48.852","45.678","42.504","39.33","36.156","29.808","","331.2","82.8","73.278","73.278","63.756","58.995","54.234","44.712","","66.24","44.16","39.082","36.542","34.003","31.464","28.925","23.846"
"","Combined S","110.4","55.2","48.852","45.678","42.504","39.33","36.156","29.808","","331.2","82.8","73.278","73.278","63.756","58.995","54.234","44.712","","66.24","44.16","39.082","36.542","34.003","31.464","28.925","23.846"
"R97 Shotgun","Rapid","61.92","30.96","27.4","25.619","23.839","22.059","20.279","16.718","","185.76","46.44","41.099","41.099","35.759","33.088","30.418","25.078","","37.152","24.768","21.92","20.496","19.071","17.647","16.223","13.375"
"","Single","103.2","51.6","45.666","42.699","39.732","36.765","33.798","27.864","","309.6","77.4","68.499","68.499","59.598","55.147","50.697","41.796","","61.92","41.28","36.533","34.159","31.786","29.412","27.038","22.291"
"Ravager-212 Twin Shotgun","Single","111.8","55.9","49.472","46.257","43.043","39.829","36.615","30.186","","335.4","83.85","74.207","74.207","64.564","59.743","54.922","45.279","","67.08","44.72","39.577","37.006","34.434","31.863","29.292","24.149"
"SMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C54 SMG","Rapid","24.725","12.362","10.941","10.23","9.519","8.808","8.097","6.676","","74.175","18.544","16.411","16.411","14.279","13.212","12.146","10.014","","14.835","9.89","8.753","8.184","7.615","7.047","6.478","5.341"
"Custodian SMG","Rapid","27.95","13.975","12.368","11.564","10.761","9.957","9.154","7.547","","83.85","20.963","18.552","18.552","16.141","14.936","13.73","11.32","","16.77","11.18","9.894","9.251","8.609","7.966","7.323","6.037"
"","Burst 3","27.95","13.975","12.368","11.564","10.761","9.957","9.154","7.546","","83.85","20.963","18.552","18.552","16.141","14.936","13.73","11.32","","16.77","11.18","9.894","9.251","8.609","7.966","7.323","6.037"
"","Charge Burst 11","33.54","16.77","14.841","13.877","12.913","11.949","10.984","9.056","","100.62","25.155","22.262","22.262","19.369","17.923","16.477","13.584","","20.124","13.416","11.873","11.102","10.33","9.559","8.787","7.245"
"Lumin V SMG","Rapid Burst 3","45.15","22.575","19.979","18.681","17.383","16.085","14.787","12.191","","135.45","33.863","29.968","29.968","26.074","24.127","22.18","18.286","","27.09","18.06","15.983","14.945","13.906","12.868","11.829","9.752"
"P8-SC SMG","Rapid","29.563","14.781","13.081","12.231","11.382","10.532","9.682","7.982","","88.688","22.172","19.622","19.622","17.072","15.797","14.523","11.973","","17.738","11.825","10.465","9.785","9.105","8.425","7.745","6.386"
"","Burst 3","29.563","14.781","13.081","12.231","11.382","10.532","9.682","7.982","","88.688","22.172","19.622","19.622","17.072","15.797","14.523","11.973","","17.738","11.825","10.465","9.785","9.105","8.425","7.745","6.386"
"Quartz SMG","Beam Heat","18","9","7.965","7.448","6.93","6.413","5.895","4.86","","54","13.5","11.948","11.948","10.395","9.619","8.843","7.29","","10.8","7.2","6.372","5.958","5.544","5.13","4.716","3.888"
"","Beam Heat 50%","18","9","7.965","7.448","6.93","6.413","5.895","4.86","","54","13.5","11.948","11.948","10.395","9.619","8.843","7.29","","10.8","7.2","6.372","5.958","5.544","5.13","4.716","3.888"
"Ripper SMG","Beam","11.825","5.913","5.233","4.893","4.553","4.213","3.873","3.193","","35.475","8.869","7.849","7.849","6.829","6.319","5.809","4.789","","7.095","4.73","4.186","3.914","3.642","3.37","3.098","2.554"
"SNIPER RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A03 Sniper Rifle","Single","102","51","45.135","42.203","39.27","36.338","33.405","27.54","","306","76.5","67.703","67.703","58.905","54.506","50.108","41.31","","61.2","40.8","36.108","33.762","31.416","29.07","26.724","22.032"
"Arrowhead Sniper Rifle","Single","107.5","53.75","47.569","44.478","41.388","38.297","35.206","29.025","","322.5","80.625","71.353","71.353","62.081","57.445","52.809","43.538","","64.5","43","38.055","35.583","33.11","30.638","28.165","23.22"
"","Charge Single","161.25","80.625","71.353","66.717","62.081","57.445","52.809","43.538","","483.75","120.938","107.03","107.03","93.122","86.168","79.214","65.306","","96.75","64.5","57.083","53.374","49.665","45.956","42.248","34.83"
"Atzkav Sniper Rifle","Single","258","129","114.165","106.748","99.33","91.913","84.495","69.66","","774","193.5","171.248","171.248","148.995","137.869","126.743","104.49","","154.8","103.2","91.332","85.398","79.464","73.53","67.596","55.728"
"P6-LR Sniper Rifle","Single","240","120","106.2","99.3","92.4","85.5","78.6","64.8","","720","180","159.3","159.3","138.6","128.25","117.9","97.2","","144","96","84.96","79.44","73.92","68.4","62.88","51.84"
"Scalpel Sniper Rifle","Double","216","108","95.58","89.37","83.16","76.95","70.74","58.32","","648","162","143.37","143.37","124.74","115.425","106.11","87.48","","129.6","86.4","76.464","71.496","66.528","61.56","56.592","46.656"
"","Single","108","54","47.79","44.685","41.58","38.475","35.37","29.16","","324","81","71.685","71.685","62.37","57.713","53.055","43.74","","64.8","43.2","38.232","35.748","33.264","30.78","28.296","23.328"
"Zenith Laser Sniper Rifle","Single","102","51","45.135","42.203","39.27","36.338","33.405","27.54","","306","76.5","67.703","67.703","58.905","54.506","50.108","41.31","","61.2","40.8","36.108","33.762","31.416","29.07","26.724","22.032"
"","Charge Single","204","102","90.27","84.405","78.54","72.675","66.81","55.08","","612","153","135.405","135.405","117.81","109.013","100.215","82.62","","122.4","81.6","72.216","67.524","62.832","58.14","53.448","44.064"
"GRENADE LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP-33 MOD Grenade Launcher","Single","148.5","74.25","65.711","61.442","57.172","52.903","48.634","40.095","","303","75.75","67.039","67.039","58.327","53.972","49.616","40.905","","110.475","73.65","65.18","60.945","56.71","52.476","48.241","39.771"
"RAILGUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scourge Railgun","Single","154","77","68.145","63.718","59.29","54.863","50.435","41.58","","348","87","76.995","76.995","66.99","61.988","56.985","46.98","","109.5","73","64.605","60.408","56.21","52.013","47.815","39.42"
"","Charge Single","12114","6057","5360.445","5012.168","4663.89","4315.613","3967.335","3270.78","","36228","9057","8015.445","8015.445","6973.89","6453.113","5932.335","4890.78","","7285.5","4857","4298.445","4019.168","3739.89","3460.613","3181.335","2622.78"
"MOUNTED GUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF-117 Bulldog Repeater ATLS","Rapid","22.6","11.3","10.001","9.351","8.701","8.051","7.402","6.102","","67.8","16.95","15.001","15.001","13.052","12.077","11.102","9.153","","13.56","9.04","8","7.481","6.961","6.441","5.921","4.882"
"YellowJacket GT-210 Gatling","Rapid","15.12","7.56","6.691","6.256","5.821","5.387","4.952","4.082","","45.36","11.34","10.036","10.036","8.732","8.08","7.428","6.124","","9.072","6.048","5.352","5.005","4.657","4.309","3.961","3.266"
"Thlilye Laser Gatling","Rapid","34.2","17.1","15.134","14.15","13.167","12.184","11.201","9.234","","102.6","25.65","22.7","22.7","19.751","18.276","16.801","13.851","","20.52","13.68","12.107","11.32","10.534","9.747","8.96","7.387"
"ROCKET LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Boomtube Rocket Launcher","Single","570040","285020","252242.7","235854.05","219465.4","203076.75","186688.1","153910.8","","1140120","285030","252251.55","252251.55","219473.1","203083.875","186694.65","153916.2","","427524","285016","252239.16","235850.74","219462.32","203073.9","186685.48","153908.64"
"MISSILE LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Animus Missile Launcher","Burst 3","12540","6270","5548.95","5188.425","4827.9","4467.375","4106.85","3385.8","","25080","6270","5548.95","5548.95","4827.9","4467.375","4106.85","3385.8","","9405","6270","5548.95","5188.425","4827.9","4467.375","4106.85","3385.8"
"GRENADE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MK-4 Frag Grenade","","228","114","100.89","94.335","87.78","81.225","74.67","61.56","","456","114","100.89","100.89","87.78","81.225","74.67","61.56","","171","114","100.89","94.335","87.78","81.225","74.67","61.56"
"MELEE DISABLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Action","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Melee Jab","","10","10","8.5","7.5","7","4","5.5","4","","20","20","17","17","14","8","11","8","","1","1","0.85","0.75","0.7","0.4","0.55","0.4"
"Melee Hook","","20","20","17","15","14","8","11","8","","40","40","34","34","28","16","22","16","","2","2","1.7","1.5","1.4","0.8","1.1","0.8"
"Melee Armed","","20","20","17","15","14","8","11","8","","40","40","34","34","28","16","22","16","","2","2","1.7","1.5","1.4","0.8","1.1","0.8"
"Melee Upper Cut","","40","40","34","30","28","16","22","16","","80","80","68","68","56","32","44","32","","4","4","3.4","3","2.8","1.6","2.2","1.6"
"Melee Haymaker","","40","40","34","30","28","16","22","16","","80","80","68","68","56","32","44","32","","4","4","3.4","3","2.8","1.6","2.2","1.6"
"MELEE KILL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Action","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Melee Jab","","0.02","0.01","0.00885","0.008275","0.0077","0.007125","0.00655","0.0054","","0.06","0.015","0.013275","0.013275","0.01155","0.0106875","0.009825","0.0081","","0.012","0.008","0.00708","0.00662","0.00616","0.0057","0.00524","0.00432"
"Melee Hook","","0.04","0.02","0.0177","0.01655","0.0154","0.01425","0.0131","0.0108","","0.12","0.03","0.02655","0.02655","0.0231","0.021375","0.01965","0.0162","","0.024","0.016","0.01416","0.01324","0.01232","0.0114","0.01048","0.00864"
"Melee Armed","","70","35","30.975","28.9625","26.95","24.9375","22.925","18.9","","210","52.5","46.4625","46.4625","40.425","37.40625","34.3875","28.35","","42","28","24.78","23.17","21.56","19.95","18.34","15.12"
"Melee Upper Cut","","0.06","0.03","0.02655","0.024825","0.0231","0.021375","0.01965","0.0162","","0.18","0.045","0.039825","0.039825","0.03465","0.0320625","0.029475","0.0243","","0.036","0.024","0.02124","0.01986","0.01848","0.0171","0.01572","0.01296"
"Melee Haymaker","","0.06","0.03","0.02655","0.024825","0.0231","0.021375","0.01965","0.0162","","0.18","0.045","0.039825","0.039825","0.03465","0.0320625","0.029475","0.0243","","0.036","0.024","0.02124","0.01986","0.01848","0.0171","0.01572","0.01296"
"Blade Slash Gun Game","","50","25","22.125","20.6875","19.25","17.8125","16.375","13.5","","150","37.5","33.1875","33.1875","28.875","26.71875","24.5625","20.25","","30","20","17.7","16.55","15.4","14.25","13.1","10.8"
"Blade Stab Gun Game","","100","50","44.25","41.375","38.5","35.625","32.75","27","","300","75","66.375","66.375","57.75","53.4375","49.125","40.5","","60","40","35.4","33.1","30.8","28.5","26.2","21.6"
"Blade Slash","","60","30","26.55","24.825","23.1","21.375","19.65","16.2","","180","45","39.825","39.825","34.65","32.0625","29.475","24.3","","36","24","21.24","19.86","18.48","17.1","15.72","12.96"
"Blade Stab","","60","30","26.55","24.825","23.1","21.375","19.65","16.2","","180","45","39.825","39.825","34.65","32.0625","29.475","24.3","","36","24","21.24","19.86","18.48","17.1","15.72","12.96"
