"Item ","Fire
Mode ","Time To Kill (secondes) Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pulse Pistol","Rapid Heat","0.348","0.765","0.862","0.862","0.956","1.048","1.138","1.31","","0.12","0.457","0.563","0.563","0.666","0.666","0.765","0.956","","0.666","0.956","1.048","1.138","1.138","1.225","1.394","1.554"
"","Rapid Heat 50%","0.235","0.525","0.594","0.594","0.662","0.729","0.794","0.921","","0.08","0.31","0.383","0.383","0.455","0.455","0.525","0.662","","0.455","0.662","0.729","0.794","0.794","0.858","0.982","1.103"
"S-38 Pistol","Single","0.286","0.571","0.571","0.571","0.714","0.714","0.857","1","","0","0.286","0.429","0.429","0.429","0.429","0.571","0.714","","0.429","0.714","0.714","0.857","0.857","1","1","1.286"
"Salvo Frag Pistol","Single","0.315","0.63","0.63","0.63","0.63","0.63","0.945","0.945","","0","0.315","0.315","0.315","0.315","0.315","0.63","0.63","","0.315","0.63","0.63","0.945","0.945","0.945","0.945","1.261"
"","Charge Single","0","1.143","1.143","1.143","1.143","1.143","1.143","1.143","","0","0","0","0","0","0","1.143","1.143","","0","1.143","1.143","1.143","1.143","1.143","1.143","2.286"
"Tripledown Pistol","Single","0","0","0","0.893","0.893","0.893","0.893","0.893","","0","0","0","0","0","0","0","0.893","","0","0.893","0.893","0.893","0.893","0.893","0.893","0.893"
"WowBlast Desperado Toy Pistol","Single","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yubarev Pistol","Single","0.153","0.306","0.306","0.459","0.459","0.459","0.459","0.612","","0","0.153","0.153","0.153","0.306","0.306","0.306","0.459","","0.306","0.459","0.459","0.459","0.459","0.612","0.612","0.765"
"SHOTGUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BR-2 Shotgun","Single","0","0.595","0.595","0.595","0.595","0.595","0.595","0.595","","0","0","0","0","0","0","0.595","0.595","","0","0.595","0.595","0.595","0.595","0.595","1.19","1.19"
"Deadrig Shotgun","Single","0","0","0","0","0","0","0","1.071","","0","0","0","0","0","0","0","0","","0","0","0","0","1.071","1.071","1.071","1.071"
"Devastator Shotgun","Single","0","0","0","0","0.893","0.893","0.893","0.893","","0","0","0","0","0","0","0","0","","0","0","0.893","0.893","0.893","0.893","0.893","0.893"
"","Charge Single","0","0","0","0","0","0","0","3.393","","0","0","0","0","0","0","0","0","","0","0","0","0","3.393","3.393","3.393","3.393"
"Prism Shotgun","Slug","0","0.3","0.3","0.6","0.6","0.6","0.6","0.9","","0","0.3","0.3","0.3","0.3","0.3","0.3","0.6","","0.3","0.6","0.6","0.6","0.6","0.6","0.9","0.9"
"","Single","0","0.156","0.312","0.312","0.312","0.312","0.312","0.468","","0","0.156","0.156","0.156","0.156","0.156","0.156","0.312","","0.156","0.312","0.312","0.312","0.312","0.468","0.468","0.623"
"","Combined S","0","0.156","0.312","0.312","0.312","0.312","0.312","0.468","","0","0.156","0.156","0.156","0.156","0.156","0.156","0.312","","0.156","0.312","0.312","0.312","0.312","0.468","0.468","0.623"
"R97 Shotgun","Rapid","0.143","0.429","0.429","0.429","0.571","0.571","0.571","0.714","","0","0.286","0.286","0.286","0.286","0.429","0.429","0.429","","0.286","0.571","0.571","0.571","0.714","0.714","0.857","1"
"","Single","0","0.357","0.714","0.714","0.714","0.714","0.714","1.071","","0","0.357","0.357","0.357","0.357","0.357","0.357","0.714","","0.357","0.714","0.714","0.714","1.071","1.071","1.071","1.429"
"Ravager-212 Twin Shotgun","Single","0","0.153","0.306","0.306","0.306","0.306","0.306","0.459","","0","0.153","0.153","0.153","0.153","0.153","0.153","0.306","","0.153","0.306","0.306","0.306","0.306","0.459","0.459","0.612"
"SMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C54 SMG","Rapid","0.232","0.463","0.521","0.521","0.579","0.637","0.695","0.811","","0.058","0.29","0.347","0.347","0.405","0.405","0.463","0.521","","0.347","0.579","0.637","0.695","0.753","0.811","0.869","1.042"
"Custodian SMG","Rapid","0.201","0.469","0.536","0.536","0.603","0.67","0.67","0.871","","0.067","0.268","0.335","0.335","0.402","0.402","0.469","0.536","","0.335","0.536","0.67","0.67","0.737","0.804","0.871","1.071"
"","Burst 3","0.8","1.66","1.719","1.719","2.4","2.46","2.46","3.26","","0.06","0.86","0.919","0.919","1.6","1.6","1.66","1.719","","0.919","1.719","2.46","2.46","2.519","3.2","3.26","4.06"
"","Charge Burst 11","0.089","0.223","0.268","0.313","0.313","0.357","0.402","3.8","","0","0.134","0.179","0.179","0.223","0.223","0.268","0.313","","0.179","0.313","0.357","0.402","0.402","0.446","3.8","3.889"
"Lumin V SMG","Rapid Burst 3","0.153","0.456","0.533","0.533","0.533","0.759","0.759","0.912","","0","0.153","0.38","0.38","0.38","0.456","0.456","0.533","","0.38","0.533","0.759","0.759","0.836","0.836","0.912","1.215"
"P8-SC SMG","Rapid","0.201","0.402","0.469","0.536","0.536","0.603","0.67","0.804","","0.067","0.268","0.335","0.335","0.335","0.402","0.402","0.536","","0.335","0.536","0.603","0.67","0.67","0.737","0.804","1.004"
"","Burst 3","0.489","0.978","1.041","1.104","1.104","1.467","1.53","1.956","","0.063","0.552","0.615","0.615","0.615","0.978","0.978","1.104","","0.615","1.104","1.467","1.53","1.53","1.593","1.956","2.445"
"Quartz SMG","Beam Heat","0.185","0.37","0.418","0.448","0.481","0.52","0.565","0.686","","0.062","0.247","0.279","0.279","0.321","0.347","0.377","0.457","","0.309","0.463","0.523","0.559","0.601","0.65","0.707","0.857"
"","Beam Heat 50%","0.185","0.37","0.418","0.448","0.481","0.52","0.565","0.686","","0.062","0.247","0.279","0.279","0.321","0.347","0.377","0.457","","0.309","0.463","0.523","0.559","0.601","0.65","0.707","0.857"
"Ripper SMG","Beam","0.282","0.564","0.637","0.681","0.732","0.791","0.861","1.044","","0.094","0.376","0.425","0.425","0.488","0.528","0.574","0.696","","0.47","0.705","0.796","0.852","0.915","0.989","1.076","1.305"
"SNIPER RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A03 Sniper Rifle","Single","0","0.267","0.533","0.533","0.533","0.533","0.533","0.8","","0","0.267","0.267","0.267","0.267","0.267","0.267","0.533","","0.267","0.533","0.533","0.533","0.8","0.8","0.8","1.067"
"Arrowhead Sniper Rifle","Single","0","0.765","1.531","1.531","1.531","1.531","1.531","2.296","","0","0.765","0.765","0.765","0.765","0.765","0.765","1.531","","0.765","1.531","1.531","1.531","2.296","2.296","2.296","3.061"
"","Charge Single","0","1.265","1.265","1.265","1.265","1.265","1.265","2.531","","0","0","0","0","1.265","1.265","1.265","1.265","","1.265","1.265","1.265","1.265","2.531","2.531","2.531","2.531"
"Atzkav Sniper Rifle","Single","0","0","0","0","1.786","1.786","1.786","1.786","","0","0","0","0","0","0","0","0","","0","0","1.786","1.786","1.786","1.786","1.786","1.786"
"P6-LR Sniper Rifle","Single","0","0","0","1.091","1.091","1.091","1.091","1.091","","0","0","0","0","0","0","0","1.091","","0","1.091","1.091","1.091","1.091","1.091","1.091","1.091"
"Scalpel Sniper Rifle","Double","0","0","1.2","1.2","1.2","1.2","1.2","1.2","","0","0","0","0","0","0","0","1.2","","0","1.2","1.2","1.2","1.2","1.2","1.2","2.4"
"","Single","0","1","3","3","3","3","3","4","","0","1","1","1","1","1","1","3","","1","3","3","3","4","4","4","6"
"Zenith Laser Sniper Rifle","Single","0","0.185","0.369","0.369","0.369","0.369","0.369","0.554","","0","0.185","0.185","0.185","0.185","0.185","0.185","0.369","","0.185","0.369","0.369","0.369","0.554","0.554","0.554","0.738"
"","Charge Single","0","0","3.685","3.685","3.685","3.685","3.685","3.685","","0","0","0","0","0","0","0","3.685","","0","3.685","3.685","3.685","3.685","3.685","3.685","7.369"
"GRENADE LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP-33 MOD Grenade Launcher","Single","0","1","1","1","1","1","2","2","","0","1","1","1","1","1","2","2","","0","1","1","1","1","1","2","2"
"RAILGUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scourge Railgun","Single","0","0.857","0.857","0.857","0.857","0.857","0.857","1.714","","0","0.857","0.857","0.857","0.857","0.857","0.857","1.714","","0","0.857","0.857","0.857","0.857","0.857","1.714","1.714"
"","Charge Single","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"MOUNTED GUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF-117 Bulldog Repeater ATLS","Rapid","0.32","0.64","0.72","0.8","0.88","0.96","1.04","1.28","","0.08","0.4","0.48","0.48","0.56","0.64","0.72","0.8","","0.56","0.88","0.96","1.04","1.12","1.2","1.28","1.6"
"YellowJacket GT-210 Gatling","Rapid","0.24","0.52","0.56","0.6","0.68","0.72","0.8","0.96","","0.08","0.32","0.36","0.36","0.44","0.48","0.52","0.64","","0.44","0.64","0.72","0.76","0.84","0.92","1","1.2"
"Thlilye Laser Gatling","Rapid","0.079","0.199","0.238","0.278","0.278","0.318","0.318","0.397","","0","0.119","0.159","0.159","0.199","0.199","0.199","0.278","","0.159","0.278","0.318","0.318","0.358","0.397","0.437","0.517"
