"         Stat
Type ","Player Status Initial
Value ","Stat
Value Min ","Max ","Decay
Rate ","Base
Decay
Cooldown ","Initial
Cooldown ","Cooldown
Type ","Decay
To
Current
Status ","Mutually
Exclusive
Statuses ","Remote
Client
Predicted ","Use
Ideal
Stat
Value ","Linked Stat Linked
Stat ","Crossed
Below
Threshold ","Pass
Excess
Below Threshold","Multiplier","Pass
Crossing
Above
Threshold ","Pass
Custom
Value ","Pass
Increase
To
Value ","Actor
Status
Type ","Default
Status
Trigger
Threshold Min","Max","Probabilistic
Status Trigger Min
Threshold ","Probability
Interp Threshold Min ","Max","Guaranteed
Threshold ","Max Status
Range
Threshold ","Probability Min ","Max ","Cooldown ","Check
Type ","Status
Effect
Type ","Trigger
Threshold Min ","Max ","Effect Min ","Max ","Value At
Min ","At
Max ","Value ","Damage Ignores
Multiplier ","Over
Time Damage At Min","Max","To Death Over Time Damage
Curve
Multiplier ","Damaged
Parts ","Non
Linear Base ","Min ","Falloff ","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hunger Decay","0","35","35","25","0.02222222","0.07407407","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Hyperthermia","38","100","","","","","","","","","","Headache Audio","38","100","38","42","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ocular Migraine","38","100","38","42","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hyperthermia Damage","42","100","42","44","","","","0","","","1.5","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Thirst Decay","38","100","38","43","0.1666667","0.9111111","","","","","","","","","","","","","","","",""
"Suit
Temperature","21","-1000","1000","0","0","0","Time","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Downed Damage","0","0","70","0","0","0","Time","0","0","0","1","","","","","","","","Dying","70","70","","","","","","","","","","Dead","70","70","","","","","1","","","","","","","","","","","","","","",""
"Hunger","100","0","100","0.007407407","0","40","Points","0","0","0","1","","","","","","","","Starved","0","15","","","","","","","","","","Muffled Audio","0","15","15","0","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blood Vision","0","15","15","0","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stomach Groan Audio","0","15","15","0","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Starvation Damage","0","5","5","0","","","","0","","","1.5","","","","","","","","","","",""
"Thirst","100","0","100","0.01111111","0","40","Points","0","0","0","1","","","","","","","","Dehydrated","0","15","","","","","","","","","","Blurred Vision","0","15","15","0","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Headache Audio","0","15","15","0","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dehydration Damage","0","5","5","0","","","","0","","","1.5","","","","","","","","","","",""
"Blood
Drug
Level","0","0","200","0.0167","0","0","Time","0","0","0","1","Overdose
Level","","","","100","1","","Mildly
Intoxicated","50","75","","","","","","","","","","Weapon Sway","50","75","50","75","1","1.15","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Double Vision","50","75","50","75","0.08","0.15","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wheezing","50","75","50","75","0","0.5","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Move Speed","50","75","50","75","1","0.7","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Intoxicated","75","100","","","","","","","","","","Weapon Sway","75","100","75","100","1.15","1.3","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Double Vision","75","100","75","100","0.2","0.35","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wheezing","75","100","75","100","0.5","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Drunk Locomotion","75","100","75","100","0","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Drunk Manoeuvring","75","100","75","95","0.9","1","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Knockdown","80","100","80","100","0.9","0.6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Stagger","80","100","80","100","0.9","0.6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Twitch","80","100","80","100","0.9","0.6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Flinch","80","100","80","100","0.9","0.6","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Overdosed","100","200","","","","","","","","","","Pass Out Unconscious","100","200","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Overdose Damage","100","200","100","200","","","","0","","","","","0.3333333","0.01666667","2","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Muffled Audio","100","200","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Weapon Sway","100","200","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Double Vision","100","200","","","","","0.375","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wheezing","100","200","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Move Speed","100","200","","","","","0.5","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Drunk Locomotion","100","200","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Drunk Manoeuvring","100","200","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Knockdown","100","200","","","","","0.6","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Stagger","100","200","","","","","0.6","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Twitch","100","200","","","","","0.6","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Flinch","100","200","","","","","0.6","","","","","","","","","","","","","","",""
"Overdose Level","0","0","3","0","0","0","Time","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wear
Head","0","0","650","0.008","0.1","0","Time","1","1","0","1","","","","","","","","Injury","200","400","","","","","","","","","","Health Pool","200","400","","","","","0.95","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stun Decay","200","400","","","","","0.85","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Knockdown","200","400","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Stagger","200","400","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Twitch","200","400","","","","","0.95","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Flinch","200","400","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Muffled Audio","200","400","","","","","0.333","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Temp Audio Loss","200","400","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ear Ringing","200","400","","","","","0.1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Major
Injury","400","600","","","","","","","","","","Health Pool","400","600","","","","","0.89","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stun Decay","400","600","","","","","0.7","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Knockdown","400","600","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Stagger","400","600","","","","","0.9","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Twitch","400","600","","","","","0.9","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Flinch","400","600","","","","","0.9","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blood Vision","400","600","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Muffled Audio","400","600","","","","","0.666","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Temp Audio Loss","400","600","","","","","0.6","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ear Ringing","400","600","","","","","0.5","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Deadly
Injury","600","650","","","","","","","","","","Health Pool","600","650","","","","","0.85","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stun Decay","600","650","","","","","0.55","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Knockdown","600","650","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Stagger","600","650","","","","","0.8","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Twitch","600","650","","","","","0.8","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Impact Resistance Flinch","600","650","","","","","0.8","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blood Vision","600","650","","","","","1.1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Muffled Audio","600","650","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hurt Locomotion","600","650","","","","","0.8","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Temp Audio Loss","600","650","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ear Ringing","600","650","","","","","1","","","","","","","","","","","","","","",""
"Wear
Torso","0","0","800","0.008","0.1","0","Time","1","1","0","1","","","","","","","","Injury","250","500","","","","","","","","","","Health Pool","250","500","","","","","0.95","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stamina Pool","250","500","","","","","0.825","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stamina Regen","250","500","","","","","0.825","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wheezing","250","500","","","","","0.333","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Major
Injury","500","750","","","","","","","","","","Health Pool","500","750","","","","","0.87","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stamina Pool","500","750","","","","","0.65","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stamina Regen","500","750","","","","","0.65","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cough Blood","500","750","","","","","0.5","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wheezing","500","750","","","","","0.666","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Deadly
Injury","750","800","","","","","","","","","","Health Pool","750","800","","","","","0.8","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stamina Pool","750","800","","","","","0.475","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stamina Regen","750","800","","","","","0.475","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cough Blood","750","800","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hurt Locomotion","750","800","","","","","0.8","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wheezing","750","800","","","","","1","","","","","","","","","","","","","","",""
"Wear Left Arm","0","0","350","0.008","0.1","0","Time","1","1","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wear Right Arm","0","0","350","0.008","0.1","0","Time","1","1","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wear Left Leg","0","0","400","0.008","0.1","0","Time","1","1","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Wear Right Leg","0","0","400","0.008","0.1","0","Time","1","1","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Body
Radiation","0","0","10000","0","0","0","Time","0","0","0","1","Wear Head","","","","1000","","100","Radiation Sickness Mild","1000","3299","","","","","","","","","","Macular Degeneration","1000","3299","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Wear Head","","","","3300","","230","Radiation
Sickness Moderate","3300","6599","","","","","","","","","","Macular Degeneration","3300","6599","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Wear Head","","","","6600","","350","","","","","","","","","","","","","Radiation Damage High","3300","6599","3300","6599","","","","0","0.35","3.5","","","","","","","","","","","",""
"","","","","","","","","","","","","Wear Torso","","","","1000","","115","Radiation
Sickness Severe","6600","10000","","","","","","","","","","Macular Degeneration","6600","10000","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","Wear Torso","","","","3300","","270","","","","","","","","","","","","","Radiation Damage High","6600","10000","6600","10000","","","","0","3.5","140","","","","","","","","","","","",""
"","","","","","","","","","","","","Wear Torso","","","","6600","","420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Suit Radiation","0","0","55000","0","0","0","Time","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Preset
Health Arms","","","","","","","","","","","","","","","","","","","Damaged","0","7.2","","","","","","","","","","Bleed","0","0","1.2","1.2","","","","0","0.35","0.35","","","","","","","","","","","",""
"Preset
Health Legs","","","","","","","","","","","","","","","","","","","Damaged","0","9.6","","","","","","","","","","Bleed","0","0","1.6","1.6","","","","0","0.35","0.35","","","","","","","","","","","",""
"Preset
Wear
Arms","","","","","","","","","","","","","","","","","","","Injury","100","200","","","","","","","","","","Health Pool","100","200","","","","","0.95","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Weapon Sway","100","200","","","","","1.1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ADS Enter","100","200","","","","","1.05","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Melee Force","100","200","","","","","0.7","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Melee Damage","100","200","","","","","0.7","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Major
Injury","200","300","","","","","","","","","","Health Pool","200","300","","","","","0.9","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Weapon Sway","200","300","","","","","1.2","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ADS Enter","200","300","","","","","1.15","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Melee Force","200","300","","","","","0.4","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Melee Damage","200","300","","","","","0.4","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Throw Force","200","300","","","","","0.8","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Deadly
Injury","300","350","","","","","","","","","","Health Pool","300","350","","","","","0.85","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Weapon Sway","300","350","","","","","1.3","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ADS Enter","300","350","","","","","1.6","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Arms Lock","300","350","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Melee Force","300","350","","","","","0.1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Melee Damage","300","350","","","","","0.1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pain Grunt","300","350","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hurt Locomotion","300","350","","","","","0.9","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Throw Force","300","350","","","","","0.15","","","","","","","","","","","","","","",""
"Preset
Wear
Legs","","","","","","","","","","","","","","","","","","","Injury","125","250","","","","","","","","","","Health Pool","125","250","","","","","0.95","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Move Speed","125","250","","","","","0.95","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Major
Injury","250","375","","","","","","","","","","Health Pool","250","375","","","","","0.87","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Move Speed","250","375","","","","","0.9","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hurt Locomotion","250","375","","","","","0.8","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pain Grunt","250","375","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Deadly
Injury","375","400","","","","","","","","","","Health Pool","375","400","","","","","0.87","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Move Speed","375","400","","","","","0.9","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Traversal Lock Prone","375","400","","","","","1","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pain Grunt","375","400","","","","","1","","","","","","","","","","","","","","",""
"","Body
Part","","","","","","Impact
Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","3","","","","Speed Factor","","","","","","","","","","","","","","","","4.7","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","1","","","15","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Torso","","1","","2","1","1","0","0","0","-1","","","","1","","","25","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Head","","1.5","","4","2","1","1","0","0","-1","","","","1","","","35","0.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Arms","","0.8","","1.5","0.1","0.65","0","0","1","-1","","","","","","","45","0.8","","","-90","115","0.25","","4","35","","","","Patreon","","3","","","","0.5","","","","","","","","","","","","","","","",""
"","Legs","","0.8","","1.5","1","1","0","1","1","-1","","","","","","","55","0.75","","","-225","75","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","5.7","","","","","","","","","","","","","","","60","0.7","","","-225","75","0.125","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Downed Params","","","","","","Max Carryable Mass","","","","","","","","","","","65","0.65","","","-225","75","0.025","","","","","","","Min Speed","","","","","","","","","","","","","","","","","","","","","",""
"","Excess Damage
To Insta Kill","","","","","","80","","","75","","","","","0.5","2","","70","0.6","","","-225","75","0.2","","","","","","64.8","0.1","","20","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","75","0.55","","","-225","75","0.05","","","","","","15","0.1","","12","","","","","","","","","","","","","","","","","","","",""
"","225","","","70","","","","","","","","","","","","","","80","0.5","","","-191.25","85","","","","","","","72","0.1","","20","","","","","","","","","","","","","","","","","","","",""
"","Force
Reactions","","","","","","ADS Block Duration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Trigger","","","","","Max","","","","","","","Indirect Flinch","","","","","","","","","","","","Magnitude
For
Slowdown","","","","","","","","","","","","","","","","","","","","","",""
"","Twitches","","","0.0001","30","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Direct Staggers","","","30","60","1","0.7","0.7","0.5","2","","","0","","3","","3","","0","3","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Direct Knockdowns","","","60","100","0","0","0","","","0.5","1.5","0","","4","","4","","0","4","","","4","","","","","","","","Min","","","","","","","","","","","","","","","","","","","","","",""
