"Item ","Fire
Mode ","Shots To Kill Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C54 SMG","Rapid","5","9","10","10","11","12","13","15","","2","6","7","7","8","8","9","10","","7","11","12","13","14","15","16","19"
"Custodian SMG","Rapid","4","8","9","9","10","11","11","14","","2","5","6","6","7","7","8","9","","6","9","11","11","12","13","14","17"
"","Burst 3","4","8","9","9","10","11","11","14","","2","5","6","6","7","7","8","9","","6","9","11","11","12","13","14","17"
"","Charge Burst 11","3","6","7","8","8","9","10","12","","1","4","5","5","6","6","7","8","","5","8","9","10","10","11","12","14"
"Lumin V SMG","Rapid Burst 3","3","5","6","6","6","7","7","9","","1","3","4","4","4","5","5","6","","4","6","7","7","8","8","9","11"
"P8-SC SMG","Rapid","4","7","8","9","9","10","11","13","","2","5","6","6","6","7","7","9","","6","9","10","11","11","12","13","16"
"","Burst 3","4","7","8","9","9","10","11","13","","2","5","6","6","6","7","7","9","","6","9","10","11","11","12","13","16"
"Quartz SMG","Beam Heat","6","12","13","14","15","16","17","21","","2","8","9","9","10","11","12","14","","10","14","16","17","19","20","22","26"
"","Beam Heat 50%","6","12","13","14","15","16","17","21","","2","8","9","9","10","11","12","14","","10","14","16","17","19","20","22","26"
"Ripper SMG","Beam","9","17","20","21","22","24","26","32","","3","12","13","13","15","16","18","21","","15","22","24","26","28","30","33","40"
"SNIPER RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A03 Sniper Rifle","Single","1","2","3","3","3","3","3","4","","1","2","2","2","2","2","2","3","","2","3","3","3","4","4","4","5"
"Arrowhead Sniper Rifle","Single","1","2","3","3","3","3","3","4","","1","2","2","2","2","2","2","3","","2","3","3","3","4","4","4","5"
"","Charge Single","1","2","2","2","2","2","2","3","","1","1","1","1","2","2","2","2","","2","2","2","2","3","3","3","3"
"Atzkav Sniper Rifle","Single","1","1","1","1","2","2","2","2","","1","1","1","1","1","1","1","1","","1","1","2","2","2","2","2","2"
"P6-LR Sniper Rifle","Single","1","1","1","2","2","2","2","2","","1","1","1","1","1","1","1","2","","1","2","2","2","2","2","2","2"
"Scalpel Sniper Rifle","Double","1","1","2","2","2","2","2","2","","1","1","1","1","1","1","1","2","","1","2","2","2","2","2","2","3"
"","Single","1","2","3","3","3","3","3","4","","1","2","2","2","2","2","2","3","","2","3","3","3","4","4","4","5"
"Zenith Laser Sniper Rifle","Single","1","2","3","3","3","3","3","4","","1","2","2","2","2","2","2","3","","2","3","3","3","4","4","4","5"
"","Charge Single","1","1","2","2","2","2","2","2","","1","1","1","1","1","1","1","2","","1","2","2","2","2","2","2","3"
"GRENADE LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP-33 MOD Grenade Launcher","Single","1","2","2","2","2","2","3","3","","1","2","2","2","2","2","3","3","","1","2","2","2","2","2","3","3"
"RAILGUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Fire Mode","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scourge Railgun","Single","1","2","2","2","2","2","2","3","","1","2","2","2","2","2","2","3","","1","2","2","2","2","2","3","3"
"","Charge Single","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1"
"MOUNTED GUN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF-117 Bulldog Repeater ATLS","Rapid","5","9","10","11","12","13","14","17","","2","6","7","7","8","9","10","11","","8","12","13","14","15","16","17","21"
"YellowJacket GT-210 Gatling","Rapid","7","14","15","16","18","19","21","25","","3","9","10","10","12","13","14","17","","12","17","19","20","22","24","26","31"
"Thlilye Laser Gatling","Rapid","3","6","7","8","8","9","9","11","","1","4","5","5","6","6","6","8","","5","8","9","9","10","11","12","14"
"ROCKET LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Boomtube Rocket Launcher","Single","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1"
"MISSILE LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Animus Missile Launcher","Burst 3","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","1"
"GRENADE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MK-4 Frag Grenade","","1","1","1","2","2","2","2","2","","1","1","1","1","2","2","2","2","","1","1","1","2","2","2","2","2"
"MELEE DISABLE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Action","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Melee Jab","","10","10","12","14","15","25","19","25","","5","5","6","6","8","13","10","13","","100","100","118","134","143","250","182","250"
"Melee Hook","","5","5","6","7","8","13","10","13","","3","3","3","3","4","7","5","7","","50","50","59","67","72","125","91","125"
"Melee Armed","","5","5","6","7","8","13","10","13","","3","3","3","3","4","7","5","7","","50","50","59","67","72","125","91","125"
"Melee Upper Cut","","3","3","3","4","4","7","5","7","","2","2","2","2","2","4","3","4","","25","25","30","34","36","63","46","63"
"Melee Haymaker","","3","3","3","4","4","7","5","7","","2","2","2","2","2","4","3","4","","25","25","30","34","36","63","46","63"
"MELEE KILL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Action","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Melee Jab","","5000","10000","11300","12085","12988","14036","15268","18519","","1667","6667","7533","7533","8659","9357","10179","12346","","8334","12500","14125","15106","16234","17544","19084","23149"
"Melee Hook","","2500","5000","5650","6043","6494","7018","7634","9260","","834","3334","3767","3767","4330","4679","5090","6173","","4167","6250","7063","7553","8117","8772","9542","11575"
"Melee Armed","","2","3","4","4","4","5","5","6","","1","2","3","3","3","3","3","4","","3","4","5","5","5","6","6","7"
"Melee Upper Cut","","1667","3334","3767","4029","4330","4679","5090","6173","","556","2223","2511","2511","2887","3119","3393","4116","","2778","4167","4709","5036","5412","5848","6362","7717"
"Melee Haymaker","","1667","3334","3767","4029","4330","4679","5090","6173","","556","2223","2511","2511","2887","3119","3393","4116","","2778","4167","4709","5036","5412","5848","6362","7717"
"Blade Slash Gun Game","","2","4","5","5","6","6","7","8","","1","3","4","4","4","4","5","5","","4","5","6","7","7","8","8","10"
"Blade Stab Gun Game","","1","2","3","3","3","3","4","4","","1","2","2","2","2","2","3","3","","2","3","3","4","4","4","4","5"
"Blade Slash","","2","4","4","5","5","5","6","7","","1","3","3","3","3","4","4","5","","3","5","5","6","6","6","7","8"
"Blade Stab","","2","4","4","5","5","5","6","7","","1","3","3","3","3","4","4","5","","3","5","5","6","6","6","7","8"
